x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
118.05517	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
120.66207	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
123.26897	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
125.87586	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
128.48276	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
131.08966	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
133.69655	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
136.30345	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
138.91034	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
141.51724	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
144.12414	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
146.73103	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
149.33793	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
151.94483	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
154.55172	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
157.15862	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
159.76552	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
162.37241	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
164.97931	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
167.58621	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
170.1931	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
172.8	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335	0.335
