x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
29.37931	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
32.317241	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
35.255172	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
38.193103	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
41.131034	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
44.068966	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
47.006897	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
49.944828	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
52.882759	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
55.82069	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
58.758621	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
61.696552	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
64.634483	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
67.572414	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
70.510345	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
73.448276	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
76.386207	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
79.324138	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
82.262069	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
85.2	5e-09	5.0314835e-09	5.0627712e-09	5.1247741e-09	5.2465831e-09	5.3064395e-09	5.3656277e-09	5.4241701e-09	5.4820873e-09	5.5961233e-09	5.6242711e-09	5.6522785e-09	5.6801479e-09	5.7078812e-09	5.7354804e-09	6.0307402e-09	6.0464306e-09	6.1345854e-09	6.1602732e-09	6.1858543e-09	6.2367018e-09	6.3371728e-09	6.3620427e-09	6.3868156e-09	6.4114929e-09	6.4360755e-09	6.4605646e-09	6.4849612e-09	6.5092664e-09	6.5334811e-09	6.5576064e-09	6.5816433e-09	6.6055928e-09	6.6294557e-09	6.6508591e-09
