x	t=0	t=100	t=200	t=400	t=800	t=1000	t=1200	t=1400	t=1600	t=2000	t=2100	t=2200	t=2300	t=2400	t=2500	t=3600	t=3660	t=4000	t=4100	t=4200	t=4400	t=4800	t=4900	t=5000	t=5100	t=5200	t=5300	t=5400	t=5500	t=5600	t=5700	t=5800	t=5900	t=6000	t=6090
29.37931	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
32.317241	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
35.255172	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
38.193103	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
41.131034	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
44.068966	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
47.006897	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
49.944828	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
52.882759	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
55.82069	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
58.758621	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
61.696552	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
64.634483	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
67.572414	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
70.510345	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
73.448276	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
76.386207	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
79.324138	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
82.262069	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
85.2	5e-09	5.0063125e-09	5.0126171e-09	5.0252025e-09	5.0502793e-09	5.0627712e-09	5.0752322e-09	5.0876628e-09	5.100063e-09	5.1247735e-09	5.1309326e-09	5.1370842e-09	5.1432285e-09	5.1493654e-09	5.1554951e-09	5.2224464e-09	5.2260736e-09	5.2465805e-09	5.2525967e-09	5.258606e-09	5.2706041e-09	5.2945187e-09	5.3004805e-09	5.3064356e-09	5.312384e-09	5.3183258e-09	5.3242609e-09	5.3301895e-09	5.3361114e-09	5.3420268e-09	5.3479356e-09	5.3538379e-09	5.3597337e-09	5.365623e-09	5.3709179e-09
